Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0402_1005Metric,22.225mm,22.425mm,22.225mm,22.425mm,21.885589mm,22.764411mm,T,315,4.7uF
C2,C_0402_1005Metric,21.55mm,21.75mm,21.55mm,21.75mm,21.210589mm,22.089411mm,T,315,0.1uF
C3,C_0402_1005Metric,17.25mm,32.1mm,17.25mm,32.1mm,16.77mm,32.1mm,T,0,1uF
C4,C_0402_1005Metric,23.175mm,18.4mm,23.175mm,18.4mm,22.835589mm,18.060589mm,T,45,10nF
C5,C_0402_1005Metric,1.0mm,25.6mm,1.0mm,25.6mm,1.0mm,25.12mm,T,90,0.1uF
C6,C_0402_1005Metric,10.6mm,17.0mm,10.6mm,17.0mm,10.939411mm,17.339411mm,T,225,10uF
C7,C_0402_1005Metric,3.675mm,18.175mm,3.675mm,18.175mm,4.014411mm,18.514411mm,T,225,100pF
C8,C_0402_1005Metric,23.3mm,32.1mm,23.3mm,32.1mm,22.82mm,32.1mm,T,0,1uF
C9,C_0603_1608Metric,22.5mm,11.35mm,22.5mm,11.35mm,21.725mm,11.35mm,T,0,10uF/25V
C10,C_0603_1608Metric,22.098008mm,19.05mm,22.098008mm,19.05mm,21.55mm,18.501992mm,T,45,10uF/25V
C11,C_0402_1005Metric,10.6mm,19.7mm,10.6mm,19.7mm,10.939411mm,20.039411mm,T,225,1uF
C12,C_0402_1005Metric,9.5mm,27.2mm,9.5mm,27.2mm,9.160589mm,26.860589mm,T,45,0.1uF
C13,C_0402_1005Metric,9.25mm,18.35mm,9.25mm,18.35mm,9.589411mm,18.689411mm,T,225,0.1uF
C14,C_0402_1005Metric,9.925mm,17.675mm,9.925mm,17.675mm,10.264411mm,18.014411mm,T,225,1uF
C15,C_0402_1005Metric,4.35mm,17.5mm,4.35mm,17.5mm,4.689411mm,17.839411mm,T,225,1uF
C16,C_0402_1005Metric,5.025mm,16.825mm,5.025mm,16.825mm,5.364411mm,17.164411mm,T,225,0.1uF
D1,D_SOD-523,15.75mm,16.6mm,15.75mm,16.6mm,15.75mm,15.9mm,T,90,LESD5Z5.0CT1G
D2,D_SOD-523,14.25mm,16.6mm,14.25mm,16.6mm,14.25mm,15.9mm,T,90,LESD5Z5.0CT1G
D3,D_SOD-523,18.3mm,16.6mm,18.3mm,16.6mm,18.3mm,15.9mm,T,90,LESD5Z5.0CT1G
D4,LED_SK6805_EC15_1.5x1.5mm,8.25mm,12.5mm,8.25mm,12.5mm,7.8mm,12.05mm,T,180,SK6805-EC15
J2,JS_AFC11-S14ICC-00,15.0mm,34.5mm,15.0mm,34.5mm,11.75mm,33.525mm,T,0,ZJY144S025
Q1,SOT-363_SC-70-6,15.6mm,20.05mm,15.6mm,20.05mm,14.468629mm,19.837868mm,T,45,PUMH4
Q2,SOT-23,6.6mm,30.975mm,6.6mm,30.975mm,5.6mm,31.925mm,T,180,2N7002
R1,R_0402_1005Metric,21.05mm,25.575mm,21.05mm,25.575mm,20.689376mm,25.214376mm,T,45,22.1K(1%)
R2,R_0402_1005Metric,21.725mm,24.9mm,21.725mm,24.9mm,21.364376mm,24.539376mm,T,45,47.5K(1%)
R3,R_0402_1005Metric,12.975mm,16.375mm,12.975mm,16.375mm,12.975mm,16.885mm,T,270,5.1K
R4,R_0402_1005Metric,17.025mm,16.375mm,17.025mm,16.375mm,17.025mm,16.885mm,T,270,5.1K
R5,R_0402_1005Metric,20.375mm,26.25mm,20.375mm,26.25mm,20.014376mm,25.889376mm,T,45,1K
R7,R_0402_1005Metric,13.7mm,22.2mm,13.7mm,22.2mm,13.339376mm,21.839376mm,T,45,1K
R8,R_0402_1005Metric,14.4mm,21.5mm,14.4mm,21.5mm,14.039376mm,21.139376mm,T,45,1K
R10,R_0402_1005Metric,8.575mm,19.025mm,8.575mm,19.025mm,8.935624mm,19.385624mm,T,225,0
R11,R_0402_1005Metric,8.25mm,14.0mm,8.25mm,14.0mm,7.74mm,14.0mm,T,0,10K
R12,R_0402_1005Metric,9.925mm,20.375mm,9.925mm,20.375mm,9.564376mm,20.014376mm,T,45,10K
R13,R_0402_1005Metric,6.6mm,33.3mm,6.6mm,33.3mm,6.09mm,33.3mm,T,0,10K
R14,R_0603_1608Metric,22.5mm,12.85mm,22.5mm,12.85mm,23.325mm,12.85mm,T,180,10K
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,18.2mm,23.4mm,18.2mm,23.4mm,18.686136mm,21.146097mm,T,135,CP2102N-A02-GQFN24R
U2,AW9364DNR_DFN2x2-8L,20.75mm,31.85mm,20.75mm,31.85mm,21.7125mm,31.1mm,T,180,AW9364DNR
U3,SOT-23-5,22.5mm,15.5mm,22.5mm,15.5mm,21.55mm,14.4mm,T,270,SPX3819M5-L-3-3
AE1,CrossAir_CA-C03,2.0mm,11.5mm,2.0mm,11.5mm,2.0mm,14.25mm,T,90,CA-C03
Through Hole Items ,,,,,,,,,,
H1,MountingHole_1.2mm_M1,6.5mm,35.0mm,6.5mm,35.0mm,6.5mm,35.0mm,T,0,Mount
H2,MountingHole_1.2mm_M1,23.5mm,35.0mm,23.5mm,35.0mm,23.5mm,35.0mm,T,0,Mount
H3,MountingHole_1.2mm_M1,8.25mm,9.5mm,8.25mm,9.5mm,8.25mm,9.5mm,T,0,Mount
H4,MountingHole_1.2mm_M1,21.75mm,9.5mm,21.75mm,9.5mm,21.75mm,9.5mm,T,0,Mount
J1,HRO_TYPE-C-31-M-12,15.0mm,10.0mm,15.0mm,10.0mm,19.325mm,8.95mm,T,0,TYPE-C-31-M-12
U4,ESP32-PICO_QFN-48_7x7mm_P0.5mm_EP4.5x4.5mm_ThermalVias,6.0mm,23.0mm,6.0mm,23.0mm,6.486136mm,18.624777mm,T,135,ESP32-PICO-V3-02
CE1,JLC_CRAFT_EDGE,7.5mm,37.5mm,7.5mm,37.5mm,9.5mm,37.5mm,T,0,CraftEdge
CE2,JLC_CRAFT_EDGE,7.0mm,7.5mm,7.0mm,7.5mm,5.0mm,7.5mm,T,180,CraftEdge
CE3,JLC_CRAFT_EDGE,22.5mm,37.5mm,22.5mm,37.5mm,24.5mm,37.5mm,T,0,CraftEdge
CE4,JLC_CRAFT_EDGE,23.0mm,7.5mm,23.0mm,7.5mm,21.0mm,7.5mm,T,180,CraftEdge
SW1,SHOUHAN_TS24ZJ,2.6mm,34.25mm,2.6mm,34.25mm,3.9mm,35.95mm,T,90,BOOT
SW2,SHOUHAN_TS24ZJ,27.4mm,34.25mm,27.4mm,34.25mm,26.1mm,32.55mm,T,270,EN
J3,PinSocket_2x09_P2.54mm_Vertical,28.25mm,9.3mm,28.25mm,9.3mm,28.25mm,9.3mm,B,0,GPIO
BZ1,HNDZ_TMB1206-05,14.8mm,25.6mm,14.8mm,25.6mm,14.8mm,25.6mm,B,135,HMB1206-05